종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"285130","SK케미칼","25598325","25598325","0","1704.0","1704.0","0.0"
"28513K","SK케미칼우","16543653","16543653","0","513.0","513.0","0.0"
"017670","SK텔레콤","41094686","41094686","0","10255.0","10255.0","0.0"
"000660","SK하이닉스","777955241","777955241","0","58486.0","58486.0","0.0"
"005610","SPC삼립","2573018","2573018","0","282.0","282.0","0.0"
"011810","STX","18290614","18290614","0","227.0","227.0","0.0"
"077970","STX엔진","11149013","11149013","0","84.0","84.0","0.0"
"071970","STX중공업","86970908","86970908","0","346.0","346.0","0.0"
"084870","TBH글로벌","79014169","79014169","0","254.0","254.0","0.0"
"002710","TCC스틸","16162584","16162584","0","42.0","42.0","0.0"
"024070","WISCOM","2965623","2965623","0","8.0","8.0","0.0"
"037270","YG PLUS","99821802","99821802","0","147.0","147.0","0.0"
"000500","가온전선","1485860","1485860","0","29.0","29.0","0.0"
"000860","강남제비스코","1627578","1627578","0","41.0","41.0","0.0"
"035250","강원랜드","82931272","82931272","0","2574.0","2574.0","0.0"
"011420","갤럭시아에스엠","96502650","96502650","0","232.0","232.0","0.0"
"002100","경농","159768848","159768848","0","2761.0","2761.0","0.0"
"009450","경동나비엔","22890251","22890251","0","1109.0","1109.0","0.0"
"267290","경동도시가스","2581976","2581976","0","79.0","79.0","0.0"
"012320","경동인베스트","1573134","1573134","0","64.0","64.0","0.0"
"000050","경방","6128520","6128520","0","67.0","67.0","0.0"
"214390","경보제약","9303462","9303462","0","91.0","91.0","0.0"
"012610","경인양행","379776422","379776422","0","3191.0","3191.0","0.0"
"009140","경인전자","2008638","2008638","0","63.0","63.0","0.0"
"013580","계룡건설","2773148","2773148","0","68.0","68.0","0.0"
"012200","계양전기","35933635","35933635","0","115.0","115.0","0.0"
"012205","계양전기우","15004604","15004604","0","141.0","141.0","0.0"
"004200","고려개발","4015158","4015158","0","24.0","24.0","0.0"
"002140","고려산업","510589980","510589980","0","1921.0","1921.0","0.0"
"010130","고려아연","7845047","7845047","0","3470.0","3470.0","0.0"
"002240","고려제강","3067283","3067283","0","75.0","75.0","0.0"
"009290","광동제약","74470714","74470714","0","590.0","590.0","0.0"
"017040","광명전기","74044209","74044209","0","190.0","190.0","0.0"
"017900","광전자","80982365","80982365","0","210.0","210.0","0.0"
"037710","광주신세계","169859","169859","0","30.0","30.0","0.0"
"030610","교보증권","16668922","16668922","0","165.0","165.0","0.0"
"007690","국도화학","1893061","1893061","0","90.0","90.0","0.0"
"005320","국동","200553828","200553828","0","401.0","401.0","0.0"
"002720","국제약품","119618964","119618964","0","601.0","601.0","0.0"
"083420","그린케미칼","8682986","8682986","0","32.0","32.0","0.0"
"014530","극동유화","44679570","44679570","0","164.0","164.0","0.0"
"014280","금강공업","34306866","34306866","0","238.0","238.0","0.0"
"014285","금강공업우","3483766","3483766","0","78.0","78.0","0.0"
"008870","금비","136245","136245","0","9.0","9.0","0.0"
"001570","금양","43118544","43118544","0","106.0","106.0","0.0"
"002990","금호산업","84467843","84467843","0","1103.0","1103.0","0.0"
"002995","금호산업우","11650717","11650717","0","674.0","674.0","0.0"
"011780","금호석유","30206309","30206309","0","2559.0","2559.0","0.0"
"011785","금호석유우","5738805","5738805","0","212.0","212.0","0.0"
"214330","금호에이치티","80963620","80963620","0","510.0","510.0","0.0"
"001210","금호전기","102105318","102105318","0","389.0","389.0","0.0"
"073240","금호타이어","90488747","90488747","0","404.0","404.0","0.0"
"092440","기신정기","6684712","6684712","0","27.0","27.0","0.0"
"000270","기아차","261518404","261518404","0","10739.0","10739.0","0.0"
"024110","기업은행","231943235","231943235","0","3033.0","3033.0","0.0"
"013700","까뮤이앤씨","230501474","230501474","0","331.0","331.0","0.0"
"004540","깨끗한나라","83116056","83116056","0","232.0","232.0","0.0"
"004545","깨끗한나라우","6049202","6049202","0","118.0","118.0","0.0"
"074610","나노메딕스","588322080","588322080","0","5148.0","5148.0","0.0"
"001260","남광토건","14889964","14889964","0","209.0","209.0","0.0"
"008350","남선알미늄","2282373270","2282373270","0","8313.0","8313.0","0.0"
"008355","남선알미우","11715016","11715016","0","408.0","408.0","0.0"
"004270","남성","808345899","808345899","0","2905.0","2905.0","0.0"
"003920","남양유업","141621","141621","0","77.0","77.0","0.0"
"003925","남양유업우","29401","29401","0","5.0","5.0","0.0"
"002070","남영비비안","50273610","50273610","0","1190.0","1190.0","0.0"
"025860","남해화학","47107062","47107062","0","546.0","546.0","0.0"
"005720","넥센","9724003","9724003","0","60.0","60.0","0.0"
"005725","넥센우","1400148","1400148","0","5.0","5.0","0.0"
